question,document
Can I create Kestra workflows from a natural-language prompt and then tweak them later?,bfe5502c30
"What are the external agent skills for Kestra, and can they push flows directly from my editor?",bfe5502c30
"For simple automations, should I use Kestra or something like Zapier or n8n instead?",bfe5502c30
"Why does ChatGPT sometimes invent Kestra plugin fields like bucket or name when I ask it to generate a flow, and what's the safest way to check the YAML?",93a3e8b98c
"How do I write the GCS upload step in Kestra without using made-up properties, and what should the real field look like?",93a3e8b98c
"For loading data from GCS into BigQuery in Kestra, why shouldn't I split project, dataset, and table into separate fields, and what is the correct setting instead?",93a3e8b98c
What can I do to make sure AI-generated Kestra YAML matches the plugin version I'm actually running?,93a3e8b98c
"Is there a way to avoid invalid Kestra flow code from generic AI assistants, and should I trust the official plugin docs or the built-in Copilot more?",93a3e8b98c
Why do we need to track token usage in Kestra workflows when running LLM calls?,a4adc70f41
How does checking token counts help control the cost of scheduled or looping AI tasks in Kestra?,a4adc70f41
What’s the benefit of monitoring prompt and response token usage for improving LLM prompts?,a4adc70f41
How can token tracking act as a safeguard in long-running Kestra flows so costs don’t spiral?,a4adc70f41
Where in a Kestra AI task can I get the token usage value from the LLM provider response?,a4adc70f41
"Why am I getting the Docker error that says the path under /tmp is not shared from the host, and how can I make it work?",dd8b4c9fda
"In Docker Desktop, where do I add /tmp so a container can mount something like /tmp/kestra-wd without failing?",dd8b4c9fda
What should I change in Docker Desktop if Kestra keeps failing with a mounts denied error on a host path?,dd8b4c9fda
How do I enable file sharing in Docker Desktop for a local folder like /tmp before starting docker compose again?,dd8b4c9fda
"After I see the mounts denied message for /tmp, what exact Docker Desktop setting do I need to update and restart?",dd8b4c9fda
"For the Module 3 Kestra homework, what exactly am I supposed to upload if I mostly worked in the Kestra UI and not in a code editor?",f29f622684
"Do I need to put the flow YAML files in my public repo for the Module 3 homework, or is a README with my answers enough?",f29f622684
"If I changed any scripts that my Kestra flows use, should those go in the homework repo too?",f29f622684
What should I submit as the GitHub link for the Module 3 homework when all the work was done in Kestra itself?,f29f622684
"Should I answer the homework questions in the repo, or do those go somewhere else in the submission form?",f29f622684
Why am I getting `JSONDecodeError: Expecting value` when I try to parse the LLM output while generating ground-truth questions?,a3c7e1b4f9
How do I make the model return only valid JSON instead of wrapping it in a code block or adding extra text?,a3c7e1b4f9
What is the right way to use OpenAI so `json.loads(response.choices[0].message.content)` doesn’t fail?,a3c7e1b4f9
What should I put in the prompt to force the model to output a JSON object with exactly 5 question strings?,a3c7e1b4f9
"Does this JSON-only output trick work with other providers too, like Gemini or Groq?",a3c7e1b4f9
Why does my Jupyter notebook keep crashing when I try to embed the ground-truth set in the evaluation notebook?,b8f2d6a30c
What can I do if the embedding step runs out of memory on a small-RAM Codespace or laptop?,b8f2d6a30c
"Is there a smaller sentence-transformers model I can use instead, and will it affect the evaluation results?",b8f2d6a30c
How do I avoid loading the embedding model inside the notebook if that is what is causing the crash?,b8f2d6a30c
"Can I process the ground-truth embeddings in batches, and what should I do to release memory between batches?",b8f2d6a30c
Why am I still getting rate-limited on Gemini even after adding a sleep between requests?,c1e9f4b820
How can I finish generating the ground-truth data if the free Gemini quota keeps getting exhausted?,c1e9f4b820
Is it better to use OpenAI or Groq for creating the dataset when I keep hitting API limits?,c1e9f4b820
What can I do to avoid losing all my progress if the ground-truth generation stops halfway because of limits?,c1e9f4b820
"Should I reduce the thread pool size when calling the model in parallel, and if so, how much?",c1e9f4b820
"How do I fix the Windows error ""OSError: [WinError 126]"" when Python says it can't load fbgemm.dll from torch?",15e931476c
"If I get ""Error loading fbgemm.dll or one of its dependencies"" on Windows, what should I install first?",15e931476c
"Does this torch DLL issue on Windows require Visual Studio, or is Visual Studio Code enough?",15e931476c
What’s the quickest way to solve the missing fbgemm.dll dependency error in PyTorch on Windows?,15e931476c
I’m seeing a WinError 126 with torch\lib\fbgemm.dll on Windows 10/11 — what are the recommended fixes?,15e931476c
"Why am I getting ""could not translate host name postgres to address"" when I run `python prep.py`, and what should I change in the `.env` file?",4b65d5542d
How do I fix the psycopg2 OperationalError about the `postgres` host not being found in Module 5?,4b65d5542d
"`python prep.py` fails with `OperationalError: could not translate host name ""postgres""`; what is the correct `POSTGRES_HOST` value?",4b65d5542d
"In the monitoring module, what should I set `POSTGRES_HOST` to if the database host `postgres` causes a no such host error?",4b65d5542d
My prep script crashes because `postgres` can't be resolved—what `.env` setting needs to be updated?,4b65d5542d
How can I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
"Why is my Explanation column getting truncated in the offline RAG evaluation notebook, and how do I see the whole thing?",641aedbbf5
What setting do I need in Pandas to display the entire judge explanation text?,641aedbbf5
"How do I stop Pandas from showing ""..."" for long column values?",641aedbbf5
"In the LLM-as-judge notebook, how can I display the full content of a text column without the 50-character limit?",641aedbbf5
How can I normalize a vector stored in a Pandas DataFrame column?,5039707c1a
What’s the easiest way to make each vector in a Pandas Series have unit length?,5039707c1a
How do I use NumPy norm to normalize values inside a DataFrame column?,5039707c1a
Can I apply a lambda to normalize every vector in one Pandas column?,5039707c1a
What code would you use to create a normalized version of an existing vector column in Pandas?,5039707c1a
How do I get the 75th percentile of a Pandas DataFrame column?,b4c8ac5a0c
What's the Pandas way to compute a quantile for a Series?,b4c8ac5a0c
How can I find the 0.75 quantile from a DataFrame column in Python?,b4c8ac5a0c
Is there a simple method in Pandas to calculate percentiles for a column?,b4c8ac5a0c
How do I use `quantile()` to get the 75% percentile in Pandas?,b4c8ac5a0c
"How do I delete every Docker container, even the running ones, from the terminal?",66ccbb7da0
What command can I use to force-remove all Docker images on my machine?,66ccbb7da0
Is there a quick way to clear out all Docker volumes from the command line?,66ccbb7da0
"How can I wipe my Docker setup by removing containers, images, and volumes in one go?",66ccbb7da0
What are the terminal commands to clean up all Docker stuff before starting fresh?,66ccbb7da0
"How do I make Streamlit feedback buttons work only once per submitted prompt, without letting the user vote twice?",2e729f1271
Why does `st.session.submitted` keep getting set back to True after I click +1 or -1 in my app?,2e729f1271
"In Streamlit, how can I disable the feedback buttons after the user has already sent a message?",2e729f1271
What’s the fix for a session state variable that gets reassigned after pressing a feedback button in Streamlit?,2e729f1271
Is there a known solution for Streamlit session attributes being reset when handling one-time feedback on a submission?,2e729f1271
"Why do I get exec: ""streamlit"": executable file not found in $PATH when starting my app with docker-compose, even though it works locally?",e8df9f0d12
My streamlit container crashes with runc create failed / unable to start container process — what am I missing in my Docker setup?,e8df9f0d12
"Do I need a Dockerfile before I can run a Streamlit app through docker-compose, and how should I rebuild it?",e8df9f0d12
I added Streamlit to my project but docker-compose still says it can't find the command. What should I check in the compose config?,e8df9f0d12
What's the right way to fix the streamlit not found error in docker-compose after updating my container config?,e8df9f0d12
Is the capstone supposed to be done individually or can we submit it as a team?,0fab61eca2
"Can I work with other students on the capstone idea, or does each project have to stand alone?",0fab61eca2
"If two people build one system, is that allowed for the capstone or does each person need a separate repo and part?",0fab61eca2
How does a shared capstone project work if multiple students collaborate on it?,0fab61eca2
What makes a capstone submission valid when more than one student is involved?,0fab61eca2
"Do I need to turn in two capstone projects, or is one enough?",d5fc98925d
What do attempt 1 and attempt 2 mean for the project submission?,d5fc98925d
"If my first capstone submission gets rejected, can I fix it and submit again later?",d5fc98925d
Can I skip the first submission window and still submit in the second one?,d5fc98925d
"If I submit two projects just for practice, do they need to be based on different data and different problem statements?",d5fc98925d
"Is the competition considered the capstone project, or are they separate?",e892d44e42
Can I use the math Kaggle competition as my capstone submission?,e892d44e42
Am I allowed to team up for the competition even though the capstone is individual?,e892d44e42
"If I join the competition with others, does that count toward the capstone requirement?",e892d44e42
"Does the capstone have to be done alone, or can the competition be done in a group?",e892d44e42
How will the capstone project be graded in this course?,9a2e2d2008
Who checks the project after I submit it?,9a2e2d2008
Do I need to review other students' capstone projects too?,9a2e2d2008
What happens if I don't grade the required number of peer projects?,9a2e2d2008
How is the final score for the capstone calculated?,9a2e2d2008
"After the deadline, how are project reviews assigned to each participant?",eae0fb50aa
"Will we get an Excel sheet with the projects to grade, and when does that happen?",eae0fb50aa
"How many projects am I supposed to review in the capstone project, and when is that decided?",eae0fb50aa
"Once submissions close, what is the process for assigning projects for grading?",eae0fb50aa
"Do we get assigned reviews only after the submission deadline, and is it three projects per person?",eae0fb50aa
"I already turned in my capstone project, but why don’t I see anything I can review yet?",a8a7fef016
When do the project review assignments show up after submission closes?,a8a7fef016
"Can I pick which student projects I want to evaluate, or are they assigned automatically?",a8a7fef016
Is there a way to start reviewing projects before the review list is released?,a8a7fef016
I submitted my project already — what’s the reason I still can’t access any reviews?,a8a7fef016
Where can I look for project ideas and possible datasets for the capstone?,e76a70cde3
Is there a page with suggestions for datasets and topics I can use for the project?,e76a70cde3
What should I check if I need inspiration for an LLM Zoomcamp project?,e76a70cde3
"Do you have any link with project ideas, datasets, and some guidance?",e76a70cde3
I'm stuck on choosing a capstone topic—where can I find examples and tips?,e76a70cde3
"Do I need Airflow, Mage, or Kestra for the capstone project, or is a simple Python script enough?",d4f7c08ea1
Can I get full points on the ingestion pipeline part if I just use Python to ingest and index the data?,d4f7c08ea1
"If I build the ingestion steps in a Jupyter notebook instead of a script, how is it scored?",d4f7c08ea1
"Should I add an orchestrator to the capstone just to satisfy the project rubric, or only when it makes sense?",d4f7c08ea1
"When would it actually make sense to use an orchestration tool for the capstone, like for daily data updates?",d4f7c08ea1
How can I evaluate a recommender-style RAG project if I don’t have any obvious ground-truth Q&A pairs?,9b0e2d6a47
What’s a good way to create synthetic test queries for a retrieval system when the dataset only has item descriptions?,9b0e2d6a47
"How do people measure ranking quality in RAG recommender tasks — is hit rate enough, or should I use MRR or NDCG?",9b0e2d6a47
"Can I use an LLM as a judge to score the end-to-end quality of a RAG recommender, and how would that work?",9b0e2d6a47
"For a recommender-type RAG where several results could be valid, why is NDCG usually a better metric than just checking the top hit?",9b0e2d6a47
"For a big corpus with long PDFs, should I just spend time finding the best chunk size first, or is there a better way to approach chunking?",6f2a8b3d10
"If I start with a basic chunking setup, what size and overlap would make sense to try first for my documents?",6f2a8b3d10
"Is it worth using an LLM to split documents into sections instead of fixed chunks, and when would that help?",6f2a8b3d10
"Should I add short summaries to each chunk for retrieval, and do they actually improve search?",6f2a8b3d10
"For legal or financial PDFs, is dense retrieval enough, or do I need something like BM25 too?",6f2a8b3d10
What does reproducibility mean for the capstone project — do reviewers need my API keys to run it?,e5d8a2c761
How should I set up the repo so someone can clone it and recreate the system from scratch?,e5d8a2c761
"Do I need to commit a .env file, or should I provide some kind of example file instead?",e5d8a2c761
What’s the right way to handle credentials and API keys so they are not exposed in the repository?,e5d8a2c761
"Should I use expensive models in the project, or is it better to pick a cheaper one for reviewers?",e5d8a2c761
"Can I do the homework or capstone in JavaScript, TypeScript, Go, Rust, Java, Scala, C#, or R instead of Python?",ea815eb858
"Is Python actually required for the course assignments and final project, or just strongly recommended?",ea815eb858
"If I build my project with a non-Python stack, what should I put in the README so the reviewer can run it?",ea815eb858
"Do you allow other languages for the capstone, and what are the downsides of not using Python?",ea815eb858
"If I use Go or another language, what kind of setup and run instructions are expected for Windows, macOS, and Linux?",ea815eb858
Where do I look to see past LLM Zoomcamp capstone projects?,930286278d
Is there a page with earlier project submissions from LLM Zoomcamp?,930286278d
Can I check examples of previous LLM Zoomcamp projects somewhere online?,930286278d
Where are the 2024 and 2025 LLM Zoomcamp project repositories listed?,930286278d
Do you have links to old LLM Zoomcamp capstone submissions so I can see the expected level?,930286278d
Do I need to reserve my capstone idea before I start working on it?,897a350476
Am I supposed to announce my project topic somewhere first?,897a350476
Can I just pick a project idea and begin without asking for permission?,897a350476
"If I want feedback on my capstone idea, where should I ask?",897a350476
Is it okay if my project is similar to a previous one as long as I build it myself?,897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a web app?,7318a90b14
"Is there any required user interface for the project, or can I choose whatever works best?",7318a90b14
"Would a CLI, Slack app, or even a notebook be acceptable for the capstone demo?",7318a90b14
"Do I have to follow strict rules for how users access the project, or just meet the grading criteria?",7318a90b14
"If I use a non-web interface, will the course teach me how to build it, or do I need to figure that out myself?",7318a90b14
"What should I use if I need to pull text out of PDFs for my RAG app, or is there a recommended tool in the course?",d8b28c47a0
Are there any good options for extracting text from scanned PDFs that don’t have a text layer?,d8b28c47a0
"Between docling, PyMuPDF, and unstructured, which one is usually better for turning documents into clean text or Markdown?",d8b28c47a0
"If my files are image-based PDFs, do I need OCR, and would pytesseract be enough?",d8b28c47a0
Is it okay to use an external OCR API like Mistral OCR instead of running everything locally?,d8b28c47a0
"Can I use the workshop content in my own capstone project, or is it only for the workshop itself?",d850a0e7ea
"Is it okay to reuse the dlt workshop materials in another Zoomcamp project, like MLOps?",d850a0e7ea
"Since dlt is open-source, does that mean I can build on it for my own data loading project?",d850a0e7ea
Am I allowed to ask questions about the workshop content while using it in my project?,d850a0e7ea
Can I use the workshop materials directly in my own work and share them with others?,d850a0e7ea
How do I initialize a new dlt project for loading data from a filesystem into DuckDB?,6bceeebf04
What command should I run to start a fresh dlt setup for cloud/file ingestion?,6bceeebf04
Is there a quick way to create a dlt project that uses DuckDB as the destination?,6bceeebf04
What’s the basic dlt init command for the filesystem tutorial?,6bceeebf04
Where should I begin if I want to set up a new dlt project for loading from cloud storage?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I try `db.open_table(""notion_pages___homework"")`?",0407213397
"What should I check if `db.open_table(""notion_pages___homework"")` says the table doesn't exist?",0407213397
"I changed the table name to homework, but `db.open_table(""notion_pages___homework"")` still fails — what am I missing?",0407213397
How do I fix the `Table notion_pages___homework does not exist` error in the dlt homework pipeline?,0407213397
Is there another place besides the table name where I need to replace `employee_handbook` with `homework`?,0407213397
Why am I getting FileNotFoundError for notion_pages___homework when I run main() in the dlt workshop?,e95bfafc0e
How do I fix the error that says Table notion_pages___homework does not exist and asks me to call db.create_table?,e95bfafc0e
What should line 3 be if db.open_table is failing for the homework table in the Notion ingestion exercise?,e95bfafc0e
Is there a specific table name I need to open for the homework code instead of creating a new table?,e95bfafc0e
Where should I change the code so main() can find the notion_pages___homework table correctly?,e95bfafc0e
How can I see all tables in the database?,e394e6f738
What method should I use to list the tables in a db?,e394e6f738
Is there a way to check which tables were created?,e394e6f738
How do I find the names of every table in the database?,e394e6f738
Which function gives me the table list in the db?,e394e6f738
"Does DLT already support ClickHouse or StarRocks connectors, or are those still missing?",cd19f122f3
Can I use DLT to load data into ClickHouse or StarRocks right now?,cd19f122f3
Is there a built-in connector in DLT for ClickHouse or StarRocks?,cd19f122f3
"If DLT doesn’t have ClickHouse or StarRocks connectors, can the community add them?",cd19f122f3
Are ClickHouse and StarRocks supported destinations in DLT yet?,cd19f122f3
"Why do I get a 401 Unauthorized when my notebook tries to call Notion search, and what should I check first?",0dfba07ace
My notebook says it doesn’t have secret access for api.notion.com/v1/search — could this be a bad API key or permissions issue?,0dfba07ace
"What usually causes the Notion API 401 error in this workshop notebook, and how can I fix it?",0dfba07ace
"If my token for Notion has expired, would that show up as a 401 Client Error in the notebook?",0dfba07ace
I’m hitting an authorization error with Notion in the dlt ingestion notebook — what settings or endpoint details should I verify?,0dfba07ace
How do I install the newer requests version from the GitHub zip instead of getting v2.28 from pip?,4b30b918bc
"If lancedb needs requests 2.32, what exact pip command should I use to force that version?",4b30b918bc
"Why am I seeing a 401 Client Error when using my key, and could it mean the key is wrong or not granted access?",4b30b918bc
Is there a direct way to install requests 2.32.3 from the source archive for this workshop?,4b30b918bc
What command fixes the requests version issue when the default install keeps pulling an older release?,4b30b918bc
